paper-URL,paper-title,paper-truncated-abstract,paper-pdf-link
https://dl.acm.org/doi/10.1145/3695053.3731072,RTSpMSpM: Harnessing Ray Tracing for Efficient Sparse Matrix Computations,"The
 significance of sparse matrix algebra pushes the development of sparse 
matrix accelerators. Despite the general reception of using hardware 
accelerators to address application demands and the convincement of 
substantial performance gain, integrating ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731072
https://dl.acm.org/doi/10.1145/3695053.3731104,AQB8: Energy-Efficient Ray Tracing Accelerator through Multi-Level Quantization,"Ray
 tracing (RT) is a rendering technique that produces high-fidelity 
images by simulating how light physically interacts with objects in a 
scene. This realism comes at a high computational and memory cost, 
largely driven by the need to find numerous ray-...",
https://dl.acm.org/doi/10.1145/3695053.3731000,ANVIL: An In-Storage Accelerator for Name–Value Data Stores,"Name–
value pairs (NVPs) are a widely-used abstraction to organize data in 
millions of applications. At a high level, an NVP associates a name 
(e.g., array index, key, hash) with each value in a collection of data. 
Specific NVP data store formats can vary ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731000
https://dl.acm.org/doi/10.1145/3695053.3731001,ArtMem: Adaptive Migration in Reinforcement Learning-Enabled Tiered Memory,"With
 the increasing memory demands of emerging applications, tiered memory 
has become a viable solution for reducing data center hardware costs. 
Given the low performance of the capacity tiers in tiered memory 
systems, optimizing memory management is ...",
https://dl.acm.org/doi/10.1145/3695053.3731005,UPP: Universal Predicate Pushdown to Smart Storage,"In large-scale analytics, in-storage processing (ISP) can significantly boost query performance by letting ISP engines (e.g.,
 FPGAs) pre-select only the relevant data before sending them to 
databases. This reduces the amount of not only data transfer ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731005
https://dl.acm.org/doi/10.1145/3695053.3731028,XHarvest: Rethinking High-Performance and Cost-Efficient SSD Architecture with CXL-Driven Harvesting,"The
 occasional nature of I/O bursts in production clusters makes the 
substantial and expensive SSD internal hardware resources (e.g., 
computation and memory resources) always underutilized, resulting in 
cost inefficiency. Open-Channel SSD (OCSSD), as a ...",
https://dl.acm.org/doi/10.1145/3695053.3731032,In-Storage Acceleration of Retrieval Augmented Generation as a Service,"Retrieval-
augmented generation (RAG) services are rapidly gaining adoption in 
enterprise settings as they combine information retrieval systems (e.g.,
 databases) with large language models (LLMs) to enhance response 
generation and reduce hallucinations. ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731032
https://dl.acm.org/doi/10.1145/3695053.3730996,SpecEE: Accelerating Large Language Model Inference with Speculative Early Exiting,"Early
 exiting has recently emerged as a promising technique for accelerating 
large language models (LLMs) by effectively reducing the hardware 
computation and memory access.In this paper, we identify that the LLM vocabulary serves as the runtime search ...",
https://dl.acm.org/doi/10.1145/3695053.3731019,Oaken: Fast and Efficient LLM Serving with Online-Offline Hybrid KV Cache Quantization,"Modern
 Large Language Model (LLM) serving system batches multiple requests to 
achieve high throughput, while batching attention operations is 
challenging, renderingmemory bandwidtha critical bottleneck. Today, to mitigate this issue, the community ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731019
https://dl.acm.org/doi/10.1145/3695053.3731025,Chimera: Communication Fusion for Hybrid Parallelism in Large Language Models,"Large
 Language Models (LLMs), exemplified by ChatGPT, have emerged as a 
predominant workload in current machine learning systems. To achieve 
efficient training and inference within the constraints of limited 
single-NPU memory capacity, deploying LLMs on ...",
https://dl.acm.org/doi/10.1145/3695053.3731057,LUT Tensor Core: A Software-Hardware Co-Design for LUT-Based Low-Bit LLM Inference,"Large
 Language Model (LLM) inference becomes resource-intensive, prompting a 
shift toward low-bit model weights to reduce the memory footprint and 
improve efficiency. Such low-bit LLMs necessitate the mixed-precision 
matrix multiplication (mpGEMM), an ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731057
https://dl.acm.org/doi/10.1145/3695053.3731073,AiF: Accelerating On-Device LLM Inference Using In-Flash Processing,"While
 large language models (LLMs) achieve remarkable performance across 
diverse application domains, their substantial memory demands present 
challenges, especially on personal devices with limited DRAM capacity. 
Recent LLM inference engines have ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731073
https://dl.acm.org/doi/10.1145/3695053.3731092,LIA: A Single-GPU LLM Inference Acceleration with Cooperative AMX-Enabled CPU-GPU Computation and CXL Offloading,"The
 limited memory capacity of single GPUs constrains large language model 
(LLM) inference, necessitating cost-prohibitive multi-GPU deployments or
 frequent performance-limiting CPU-GPU transfers over slow PCIe. In this
 work, we first benchmark recent ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731092
https://dl.acm.org/doi/10.1145/3695053.3730998,Enabling Ahead Prediction with Practical Energy Constraints,"Accurate
 branch predictors require multiple cycles to produce a prediction, and 
that latency hurts processor performance. ""Ahead prediction"" solves the 
performance problem by starting the prediction early. Unfortunately, 
this means making the prediction ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3730998
https://dl.acm.org/doi/10.1145/3695053.3731070,Profile-Guided Temporal Prefetching,"Temporal
 prefetching shows promise for handling irregular memory access 
patterns, which are common in data-dependent and pointer-based data 
structures. Recent studies introduced on-chip metadata storage to reduce
 the memory traffic caused by accessing ...",
https://dl.acm.org/doi/10.1145/3695053.3731049,WarmCache: Exploiting STT-RAM Cache for Low-Power Intermittent Systems,"This paper introducesWarmCache,
 an optimized STT-RAM cache design with relaxed non-volatility, for an 
energy harvesting system (EHS) to avoid such compulsory misses across 
power failure. The key insight is that if the retention time of a cache 
is longer ...",
https://dl.acm.org/doi/10.1145/3695053.3731054,Magellan: A High-Performance Loop-Guided Prefetcher for Indirect Memory Access,"Graph
 analytics and sparse linear algebra applications heavily rely on 
indirect memory access (IMA). IMAs are characterized by poor temporal 
and spatial locality, which causes frequent high-latency DRAM accesses. 
While dedicated hardware prefetchers for ...",
https://dl.acm.org/doi/10.1145/3695053.3731059,Leveraging control-flow similarity to reduce branch predictor cold effects in microservices,"Modern
 datacenter applications commonly adopt a microservice software 
architecture, where an application is decomposed into smaller 
interconnected microservices communicating via the network. These 
microservices often operate under strict latency ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731059
https://dl.acm.org/doi/10.1145/3695053.3731016,"Cramming a Data Center into One Cabinet, a Co-Exploration of Computing and Hardware Architecture of Waferscale Chip","The
 rapid advancements in large language models (LLMs) have significantly 
increased hardware demands. Wafer-scale chips, which integrate numerous 
compute units on an entire wafer, offer a high-density computing 
solution for data centers and can extend ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731016
https://dl.acm.org/doi/10.1145/3695053.3731023,Fair-CO2: Fair Attribution for Cloud Carbon Emissions,"Fair-CO2is a system for fairly attributing operational and embodied carbon in 
cloud data centers to user workloads. It leverages the Shapley value, a 
game theory solution for fair shared cost attribution with theoretical 
fairness guarantees. We propose ...",
https://dl.acm.org/doi/10.1145/3695053.3731026,"Dynamic Load Balancer in Intel Xeon Scalable Processor: Performance Analyses, Enhancements, and Guidelines","The
 rapid increase in inter-host networking speed has challenged host 
processing capabilities, as bursty traffic and uneven load distribution 
among host CPU cores give rise to excessive queuing delays and service 
latency variances. To cost-efficiently ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731026
https://dl.acm.org/doi/10.1145/3695053.3731114,A4: Microarchitecture-Aware LLC Management for Datacenter Servers with Emerging I/O Devices,"In
 modern server CPUs, the Last-Level Cache (LLC) serves not only as a 
victim cache for higher-level private caches but also as a buffer for 
low-latency DMA transfers between CPU cores and I/O devices through 
Direct Cache Access (DCA). However, prior work ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731114
https://dl.acm.org/doi/10.1145/3695053.3731108,Single-Address-Space FaaS with Jord,"Function-
as-a-Service (FaaS) has emerged as a popular cloud paradigm that 
simplifies software development and deployment by providing scalable and
 event-driven function execution without the burden of managing servers.
 FaaS was originally created with a...",
https://dl.acm.org/doi/10.1145/3695053.3731071,HardHarvest: Hardware-Supported Core Harvesting for Microservices,"In
 microservice environments, users size their virtual machines (VMs) for 
peak loads, leaving cores idle much of the time. To improve core 
utilization and overall throughput, it is instructive to consider a 
recently-introduced software technique for ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731071
https://dl.acm.org/doi/10.1145/3695053.3730997,MoPAC: Efficiently Mitigating Rowhammer with Probabilistic Activation Counting,"Rowhammer
 has worsened over the last decade. Existing in-DRAM solutions, such as 
TRR, were broken with simple patterns. In response, the recent DDR5 
JEDEC standards modify the DRAM array to enablePer-Row Activation Counters (PRAC)for tracking aggressor ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3730997
https://dl.acm.org/doi/10.1145/3695053.3731007,When Mitigations Backfire: Timing Channel Attacks and Defense for PRAC-Based RowHammer Mitigations,"Per
 Row Activation Counting (PRAC) has emerged as a robust framework for 
mitigating RowHammer (RH) vulnerabilities in modern DRAM systems. 
However, we uncover a critical vulnerability: a timing channel 
introduced by the Alert Back-Off (ABO) protocol and ...",
https://dl.acm.org/doi/10.1145/3695053.3731030,PuDHammer: Experimental Analysis of Read Disturbance Effects of Processing-using-DRAM in Real DRAM Chips,"Processing-using-DRAM (PuD) is a promisingparadigmfor alleviating the data movement bottleneck using a DRAM array’s 
massive internal parallelism and bandwidth to execute very wide 
data-parallel operations. Performing a PuD operation involves activating...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731030
https://dl.acm.org/doi/10.1145/3695053.3731117,DREAM: Enabling Low-Overhead Rowhammer Mitigation via Directed Refresh Management,"This
 paper focuses on Memory-Controller (MC) side Rowhammer mitigation. 
MC-side mitigation consists of two parts: First, a tracker to identify 
the aggressor rows. Second, a command to let the MC inform the DRAM chip
 to perform victim-refresh for the ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731117
https://dl.acm.org/doi/10.1145/3695053.3731024,Ecco: Improving Memory Bandwidth and Capacity for LLMs via Entropy-Aware Cache Compression,"Large
 language models (LLMs) have demonstrated transformative capabilities 
across diverse artificial intelligence applications, yet their 
deployment is hindered by substantial memory and computational demands, 
especially in resource-constrained ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731024
https://dl.acm.org/doi/10.1145/3695053.3731051,Hybe: GPU-NPU Hybrid System for Efficient LLM Inference with Million-Token Context Window,"The
 growth of context window size in large language model (LLM) inference 
poses a very distinct computational challenge of hardware inefficiency. 
The inefficiency arises from the computational imbalance during LLM 
inference between the compute-intensive ...",
https://dl.acm.org/doi/10.1145/3695053.3731077,MeshSlice: Efficient 2D Tensor Parallelism for Distributed DNN Training,"In
 distributed training of large DNN models, the scalability of 
one-dimensional (1D) tensor parallelism (TP) is limited because of its 
high communication cost. 2D TP attains extra scalability and efficiency 
because it reduces communication relative to 1D ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731077
https://dl.acm.org/doi/10.1145/3695053.3731098,Zettafly: A Network Topology with Flexible Non-blocking Regions for Large-scale AI and HPC Systems,"Interconnection
 networks are playing an increasingly crucial role in achieving 
scalability and throughput for post-exascale and zettascale computing 
systems. Resource consumption characteristics of AI and HPC workloads 
are essential to designing effective ...",
https://dl.acm.org/doi/10.1145/3695053.3730987,AIM: Software and Hardware Co-design for Architecture-level IR-drop Mitigation in High-performance PIM,"SRAM
 Processing-in-Memory (PIM) has emerged as the most promising 
implementation for high-performance PIM, delivering superior computing 
density, energy efficiency, and computational precision. However, the 
pursuit of higher performance necessitates more ...",
https://dl.acm.org/doi/10.1145/3695053.3731041,OptiPIM: Optimizing Processing-in-Memory Acceleration Using Integer Linear Programming,"Processing-
in-memory (PIM) accelerators provide superior performance and energy 
efficiency to conventional architectures by minimizing off-chip data 
movement and exploiting extensive internal memory bandwidth for 
computation. However, efficient PIM ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731041
https://dl.acm.org/doi/10.1145/3695053.3731089,HeterRAG: Heterogeneous Processing-in-Memory Acceleration for Retrieval-augmented Generation,"By integrating external knowledge bases,Retrieval-augmented Generation(RAG) enhances natural language generation for knowledge-intensive 
scenarios and specialized domains, producing content that is both more 
informative and personalized. RAG systems ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731089
https://dl.acm.org/doi/10.1145/3695053.3731096,ATiM: Autotuning Tensor Programs for Processing-in-DRAM,"Processing-
in-DRAM (DRAM-PIM) has emerged as a promising technology for 
accelerating memory-intensive operations in modern applications, such as
 Large Language Models (LLMs). Despite its potential, current software 
stacks for DRAM-PIM face significant ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731096
https://dl.acm.org/doi/10.1145/3695053.3731027,Single Spike Artificial Neural Networks,"Spiking
 neural networks (SNNs) circumvent the need for large scale arithmetic 
using techniques inspired by biology. However, SNNs are designed with 
fundamentally different algorithms from ANNs, which have benefited from a
 rich history of theoretical ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731027
https://dl.acm.org/doi/10.1145/3695053.3731035,Phi: Leveraging Pattern-based Hierarchical Sparsity for High-Efficiency Spiking Neural Networks,"Spiking
 Neural Networks (SNNs) are gaining attention for their energy 
efficiency and biological plausibility, utilizing 0-1 activation 
sparsity through spike-driven computation. While existing SNN 
accelerators exploit this sparsity to skip zero ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731035
https://dl.acm.org/doi/10.1145/3695053.3731063,Bishop: Sparsified Bundling Spiking Transformers on Heterogeneous Cores with Error-constrained Pruning,"Spiking
 neural networks(SNNs) have emerged as a promising solution for 
deployment on resource-constrained edge devices and neuromorphic 
hardware due to their low power consumption. Spiking transformers, which
 integrate attention mechanisms similar to ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731063
https://dl.acm.org/doi/10.1145/3695053.3731076,Hermes: Algorithm-System Co-design for Efficient Retrieval-Augmented Generation At-Scale,"The
 rapid advancement of Large Language Models (LLMs) as well as the 
constantly expanding amount of data make keeping the latest models 
constantly up-to-date a challenge. The high computational cost required 
to constantly retrain models to handle evolving ...",
https://dl.acm.org/doi/10.1145/3695053.3731093,RAGO: Systematic Performance Optimization for Retrieval-Augmented Generation Serving,"Retrieval-
augmented generation (RAG) is emerging as a popular approach for 
reliable LLM serving. However, efficient RAG serving remains an open 
challenge due to the rapid emergence of many RAG variants and the 
substantial differences in workload ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731093
https://dl.acm.org/doi/10.1145/3695053.3731043,Transitive Array: An Efficient GEMM Accelerator with Result Reuse,"Deep
 Neural Networks (DNNs) and Large Language Models (LLMs) have 
revolutionized artificial intelligence, yet their deployment faces 
significant memory and computational challenges, especially in 
resource-constrained environments. Quantization techniques ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731043
https://dl.acm.org/doi/10.1145/3695053.3730993,Light-weight Cache Replacement for Instruction Heavy Workloads,"The
 last-level cache (LLC) is the last chance for memory accesses from the 
processor to avoid the costly latency of accessing the main memory. In 
recent years, an increasing number of instruction heavy workloads have 
put pressure on the last-level cache. ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3730993
https://dl.acm.org/doi/10.1145/3695053.3731009,The Sparsity-Aware LazyGPU Architecture,"General-
Purpose Graphics Processing Units (GPUs) are essential accelerators in 
data-parallel applications, including machine learning, and physical 
simulations. Although GPUs utilize fast wavefront context switching to 
hide memory access latency, memory ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731009
https://dl.acm.org/doi/10.1145/3695053.3731010,"Evaluating Ruche Networks: Physically Scalable, Cost-Effective, Bandwidth-Flexible NoCs","2-
D mesh has been widely used as an on-chip network topology, because of 
its low design complexity and physical scalability. However, its poor 
latency and throughput scaling have been well-noted in the past. 
Previous solutions to overcome its ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731010
https://dl.acm.org/doi/10.1145/3695053.3731029,Garibaldi: A Pairwise Instruction-Data Management for Enhancing Shared Last-Level Cache Performance in Server Workloads,"Modern
 CPUs suffer from the frontend bottleneck because the instruction 
footprint of server workloads exceeds the private cache capacity. Prior 
works have examined the CPU components or private cache to improve the 
instruction hit rate. The large ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731029
https://dl.acm.org/doi/10.1145/3695053.3731040,NetCrafter: Tailoring Network Traffic for Non-Uniform Bandwidth Multi-GPU Systems,"Multiple
 Graphics Processing Units (GPUs) are being integrated into systems to 
meet the computing demands of emerging workloads. To continuously 
support more GPUs in a system, it is important to connect them 
efficiently and effectively. To this end, ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731040
https://dl.acm.org/doi/10.1145/3695053.3731075,Caravan: A Hardware/Software Co-Design for Efficient SIMD Neighbor Search on Point Clouds,"Neighbor searchis the backbone task for point cloud processing, which is widely 
employed in current 3D computer vision applications. To be efficient,neighbor searchrelies on spatial data structures such as k-d trees, to prune the search space. We found ...",
https://dl.acm.org/doi/10.1145/3695053.3731013,ANSMET: Approximate Nearest Neighbor Search with Near-Memory Processing and Hybrid Early Termination,"Approximate
 nearest neighbor search (ANNS) is a fundamental operation in modern 
vector databases to efficiently retrieve nearby vectors to a given 
query. On general-purpose computing platforms, ANNS is found not only to
 be highly memory-bound due to the ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731013
https://dl.acm.org/doi/10.1145/3695053.3731079,DReX: Accurate and Scalable Dense Retrieval Acceleration via Algorithmic-Hardware Codesign,"Retrieval-
augmented generation (RAG) supplements large language models (LLM) with 
information retrieval to ensure up-to-date, accurate, factually 
grounded, and contextually relevant outputs. RAG implementations often 
employ dense retrieval methods and ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731079
https://dl.acm.org/doi/10.1145/3695053.3731083,EOD: Enabling Low Latency GNN Inference via Near-Memory Concatenate Aggregation,"As
 online services based on graph databases increasingly integrate with 
machine learning, serving low-latency Graph Neural Network (GNN) 
inference for individual requests has become a critical challenge. 
Real-time GNN inference services operate in an ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731083
https://dl.acm.org/doi/10.1145/3695053.3731106,RAP: Reconfigurable Automata Processor,"Regular
 pattern matching is essential for applications such as text processing,
 malware detection, network security, and bioinformatics. Recent 
in-memory automata processors have significantly advanced the energy and
 memory efficiency over conventional ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731106
https://dl.acm.org/doi/10.1145/3695053.3731109,Hybrid SLC-MLC RRAM Mixed-Signal Processing-in-Memory Architecture for Transformer Acceleration via Gradient Redistribution,"Transformers,
 while revolutionary, face challenges due to their demanding 
computational cost and large data movement. To address this, we propose 
HyFlexPIM, a novel mixed-signal processing-in-memory (PIM) accelerator 
for inference that flexibly utilizes ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731109
https://dl.acm.org/doi/10.1145/3695053.3731116,REIS: A High-Performance and Energy-Efficient Retrieval System with In-Storage Processing,"Large
 Language Models (LLMs) face an inherent challenge: their knowledge is 
confined to the data that they have been trained on. This limitation, 
combined with the significant cost of retraining renders them incapable 
of providing up-to-date responses. To ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731116
https://dl.acm.org/doi/10.1145/3695053.3730989,MicroScopiQ: Accelerating Foundational Models through Outlier-Aware Microscaling Quantization,"Quantization
 of foundational models (FMs) is significantly more challenging than 
traditional DNNs due to the emergence of large magnitude values called 
outliers. Existing outlier-aware algorithm-architecture co-design 
techniques either use mixed-precision,...",https://dl.acm.org/doi/pdf/10.1145/3695053.3730989
https://dl.acm.org/doi/10.1145/3695053.3731002,Topology-Aware Virtualization over Inter-Core Connected Neural Processing Units,"With
 the rapid development of artificial intelligence (AI) applications, an 
emerging class of AI accelerators, termed Inter-core Connected Neural 
Processing Units (NPU), has been adopted in both cloud and edge 
computing environments, like Graphcore IPU, ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731002
